Дата	Количество	Сумма	Наименование
2023-04-01 21:44:00	1	114,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-04-17 21:53:00	1	129,98	ЯЙЦО КУРИНОЕ 2 КАТЕГОРИИ ФОРТИУС 15ШТ ПЛЕНКА
2023-04-17 21:53:00	1	59,9	ПЕЧЕНЬЕ ЗАТЯЖНОЕ ГУТЭ ОРИОН 72Г (1/20)
2023-04-17 21:53:00	1	179,99	ШОКОЛАД ПОБЕДА МОЛОЧНЫЙ 36% КАКАО БЕЗ САХАРА 100Г (1/20)
2023-05-01 20:42:00	1	135,66	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ИМПЕРИЯ 10ШТ БОКС
2023-05-01 20:42:00	1	174,43	ШОКОЛАД ПОБЕДА МОЛОЧНЫЙ 36% КАКАО БЕЗ САХАРА 100Г (1/20)
2023-05-01 20:42:00	1	129,9	ШОКОЛАД ГОРЬКИЙ 55% КОРКУНОВ 90Г (1/14)
2023-05-02 21:51:00	1	139,9	ШОКОЛАД ГОРЬКИЙ МЕРСИ 100Г (1/15)
2023-05-02 21:51:00	1	79,79	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ КАПУСТОЙ 65Г (1/22)
2023-05-11 21:16:00	1	179,99	ШОКОЛАД ПОБЕДА МОЛОЧНЫЙ 36% КАКАО БЕЗ САХАРА 100Г (1/20)
2023-05-11 21:16:00	1	129,9	ШОКОЛАД ГОРЬКИЙ 55% КОРКУНОВ 90Г (1/14)
2023-05-11 21:16:00	1	99,9	ПЕЧЕНЬЕ BELVITA УТРЕННЕЕ КАКАО 225Г (1/20)
2023-05-11 21:16:00	1	125,9	ПЕЧЕНЬЕ ЛЮБЯТОВО ЗЛАКОВОЕ МЮСЛИ С ТЫКВ.И ЛЬНЯН. СЕМЕЧКАМИ 120Г (1/20)
2023-05-11 21:16:00	1	179,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2023-05-17 21:09:00	1	109,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
